Disease;Pedersen_Danish_Incidence_Male ;Pedersen_Danish_Incidence_Female ;Pedersen_Danish_Lifetime_Male ;Pedersen_Danish_Lifetime_Female 
F00;0.01;0.01;3.2;5.14
F01;0.01;0.01;1.85;2.01
F02;;;;
F03;;;;
F04;;;;
F05;;;;
F06;;;;
F07;;;;
F09;;;;
F10;3.52;1.76;5.28;2.96
F11;;;;
F12;2.12;0.77;2.2;0.79
F13;;;;
F14;;;;
F15;;;;
F16;;;;
F17;;;;
F18;;;;
F19;;;;
F20;1.73;1.24;1.93;1.56
F21;;;;
F22;;;;
F23;;;;
F24;;;;
F25;0.17;0.25;0.22;0.35
F28;;;;
F29;;;;
F30;;;;
F31;;;;
F32;;;;
F33;2.13;4.46;3.78;7.62
F34;;;;
F38;;;;
F39;;;;
F40;;;;
F41;;;;
F42;0.9;1.45;0.95;1.55
F43;;;;
F44;;;;
F45;;;;
F48;;;;
F50;0.17;2.96;0.17;3
F51;;;;
F52;;;;
F53;;;;
F54;;;;
F55;;;;
F59;;;;
F60;3.12;6.06;3.45;6.66
F61;;;;
F62;;;;
F63;;;;
F64;;;;
F65;;;;
F66;;;;
F68;;;;
F69;;;;
F70;;;;
F71;;;;
F72;;;;
F78;;;;
F79;;;;
F80;;;;
F81;;;;
F82;;;;
F84;2.96;0.92;3;0.93
F89;;;;
F90;4.52;1.9;4.55;1.92
F91;;;;
F92;;;;
F94;;;;
F95;;;;
F98;;;;
F99;;;;
Any;;;;
