phenotype	description	N	N_case	N_control	prevelence	mean_chi2	lambdaGC	intercept	intercept_se	intercept_z	intercept_p	ratio	ratio_se	h2_observed	h2_observed_se	h2_liability	h2_liability_se	h2_z	h2_p	base::Prop_SNPs
1950	Sensitivity / hurt feelings	327832	182340	145492	0.5562	1.42677878708	1.34056102223	1.03739244139	0.0123439301548	3.02921686413	0.00122594304792	0.08761551072006091	0.028923485722481452	0.0602126560284	0.00413354572853	0.095271277737	0.00654028918697	14.5668295412	2.28297420219e-48	1.0
137	Number of treatments/medications taken	337159	NA	NA	NA	1.43678632524	1.35361698751	1.04978215892	0.00977390960798	5.0933721425	1.75875147427e-07	0.11397371218878138	0.022376867230583734	0.0598297208607	0.00304554945891	0.0598297208607	0.00304554945891	19.6449677366	3.19186365096e-86	1.0
1598	Average weekly spirits intake	240658	NA	NA	NA	1.16560844544	1.15332316031	1.01637095681	0.00914005351023	1.7911226441	0.0366368080698	0.09885339341832415	0.05519074516963508	0.0335400305858	0.00379405367439	0.0335400305858	0.00379405367439	8.84015711539	4.77920461753e-19	1.0
1777	Part of a multiple birth	332317	7382	324935	0.0222137	1.01894400041	1.02435016625	1.01157074043	0.00857365668116	1.34956890216	0.088577152464	0.6107865384901218	0.4525789957898216	-0.000171266749363	0.00247564064283	-0.00132853499944	0.0192038165742	-0.069180779472	0.527577138896	1.0
46	Hand grip strength (left)	335821	NA	NA	NA	1.74173696365	1.55768900114	1.07440871072	0.0129378859555	5.751226358	4.42991974132e-09	0.10031684326163598	0.017442687353458917	0.106472438162	0.00446316950017	0.106472438162	0.00446316950017	23.8557908585	4.40891196808e-126	1.0
845	Age completed full time education	226899	NA	NA	NA	1.43690776767	1.37028320598	1.07714407911	0.0101192064055	7.62353054342	1.23414930891e-14	0.176568339625696	0.023160967037528443	0.0843668138678	0.00462372836422	0.0843668138678	0.00462372836422	18.2464901097	1.10318734882e-74	1.0
2050	Frequency of depressed mood in last 2 weeks	323267	NA	NA	NA	1.28200124615	1.22814628458	1.0315533787	0.010994542751	2.86991277573	0.00205292521029	0.1118909194027173	0.038987567966795846	0.0404575771243	0.00343375981864	0.0404575771243	0.00343375981864	11.7822967421	2.40812864233e-32	1.0
2247_1	Hearing difficulty/problems: Yes	323978	84839	239139	0.261867	1.28215821103	1.2330673945	1.01807958243	0.0101025479602	1.78960619622	0.036758620848	0.06407604570922332	0.03580455065734206	0.041484520834	0.00350358839692	0.075654902784	0.00638945886888	11.8405806089	1.20390137078e-32	1.0
2375	Relative age of first facial hair	151113	NA	NA	NA	1.40931391879	1.28050833581	1.03995113921	0.0149423099176	2.6736923161	0.00375106235643	0.09760513233811938	0.036505745911923314	0.138703682455	0.00978163750057	0.138703682455	0.00978163750057	14.1800064096	6.09177148743e-46	1.0
2473	Other serious medical condition/disability diagnosed by doctor	331274	67968	263306	0.205172	1.17392647551	1.15233616229	1.00924789001	0.00921352302706	1.0037300592	0.157754372112	0.05317126093873907	0.05297366602857117	0.0295770122077	0.00281670868169	0.0596887248176	0.00568433850627	10.5005577609	4.29356124517e-26	1.0
2814	Ever used hormone-replacement therapy (HRT)	180631	71377	109254	0.395154	1.14492925343	1.12723018496	1.01395857384	0.00931957128523	1.49776995187	0.0670965151197	0.09631301828404235	0.06430427994898737	0.0364492102143	0.00504407161156	0.058747253584	0.00812981549719	7.22614844142	2.48442307445e-13	1.0
2704	Years since last cervical smear test	139363	NA	NA	NA	1.02993225122	1.0313187805	1.00600256913	0.00859138942185	0.698672686929	0.242378303429	0.2005385124103456	0.28702784030653744	0.0108626939195	0.0055888822777	0.0108626939195	0.0055888822777	1.94362546565	0.0259703163113	1.0
2986	Started insulin within one year diagnosis of diabetes	15397	1872	13525	0.121582	1.05182455655	1.04887403716	0.99214869222	0.0120349497343	-0.652375618826	0.742920555613	-0.15149782850803006	0.23222484736733545	0.249498425683	0.0794260646477	0.653725191867	0.208108805532	3.14126636879	0.000841094807072	1.0
3414	Hip pain for 3+ months	37315	29165	8150	0.781589	1.01764343099	1.01118442334	1.00531102775	0.00926308759484	0.573353938388	0.283202535642	0.3010201223678545	0.525016228569009	0.0359910606253	0.0207520041521	0.0706657942362	0.0407450302916	1.73434143331	0.0414287599978	1.0
3839	Number of spontaneous miscarriages	55927	NA	NA	NA	1.0237932668	1.02063054922	0.99978030208	0.00798152412535	-0.0275258104728	0.510979823068	-0.009233617316279983	0.33545305869930453	0.0253720432281	0.013868086774	0.0253720432281	0.013868086774	1.82952729108	0.0336603273889	1.0
4080	Systolic blood pressure, automated reading	317754	NA	NA	NA	1.88070517951	1.59223990351	1.07897225995	0.0146829461243	5.37850233057	3.75540050935e-08	0.0896693488202784	0.0166718062592514	0.133592026465	0.00585690990387	0.133592026465	0.00585690990387	22.8093019455	1.85361568885e-115	1.0
3591	Ever had hysterectomy (womb removed)	159679	13060	146619	0.0817891	1.0740759697	1.06632787495	1.00787695963	0.010252248249	0.768315342933	0.221149930773	0.10633623374355194	0.13840180951962186	0.0251467781681	0.00566986658499	0.0826404845988	0.0186330240423	4.43516223727	4.60014877896e-06	1.0
4451	Average monthly fortified wine intake	24471	NA	NA	NA	1.00660271515	1.00639973908	0.987019875044	0.00802070564581	-1.61832705615	0.94720393359	-1.9658768639762916	1.2147586957166154	0.0519074952609	0.0276915357122	0.0519074952609	0.0276915357122	1.87448958412	0.0304314881768	1.0
